source,target,weight
"('CONTEXT-COMPLEX', 'CORE-ADAPT')",CORE-ADAPT,34
"('CONTEXT-COMPLEX', 'CORE-BUSINESS')",CORE-BUSINESS,38
"('CONTEXT-COMPLEX', 'EXP-AI-YRS')",EXP-AI-YRS,21
"('CONTEXT-COMPLEX', 'EXP-INDUSTRY')",EXP-INDUSTRY,37
"('CONTEXT-COMPLEX', 'EXP-PM-YRS')",EXP-PM-YRS,35
"('CONTEXT-COMPLEX', 'EXP_ROLE')",EXP_ROLE,40
"('CONTEXT-COMPLEX', 'PM-BUDGET')",PM-BUDGET,13
"('CONTEXT-COMPLEX', 'PM-PLAN')",PM-PLAN,39
"('CONTEXT-COMPLEX', 'PM-RISK')",PM-RISK,30
"('CONTEXT-COMPLEX', 'PM-TOOL')",PM-TOOL,19
"('CONTEXT-COMPLEX', 'QUAL-PREF')",QUAL-PREF,27
"('CONTEXT-COMPLEX', 'SS-LEADERSHIP')",SS-LEADERSHIP,38
"('CONTEXT-COMPLEX', 'SS-STAKEHOLDER')",SS-STAKEHOLDER,40
"('CONTEXT-COMPLEX', 'TECH-CONCEPT')",TECH-CONCEPT,38
"('CONTEXT-COMPLEX', 'TECH-OPS')",TECH-OPS,32
"('CONTEXT-COMPLEX', 'analytical mindset')",analytical mindset,2
"('CONTEXT-COMPLEX', 'passion for digital transformation')",passion for digital transformation,1
"('CONTEXT-COMPLEX', 'process improvement')",process improvement,2
"('CORE-ADAPT', 'CORE-BUSINESS')",CORE-BUSINESS,33
"('CORE-ADAPT', 'EXP-AI-YRS')",EXP-AI-YRS,17
"('CORE-ADAPT', 'EXP-INDUSTRY')",EXP-INDUSTRY,33
"('CORE-ADAPT', 'EXP-PM-YRS')",EXP-PM-YRS,30
"('CORE-ADAPT', 'EXP_ROLE')",EXP_ROLE,35
"('CORE-ADAPT', 'PM-BUDGET')",PM-BUDGET,10
"('CORE-ADAPT', 'PM-PLAN')",PM-PLAN,34
"('CORE-ADAPT', 'PM-RISK')",PM-RISK,25
"('CORE-ADAPT', 'PM-TOOL')",PM-TOOL,17
"('CORE-ADAPT', 'QUAL-PREF')",QUAL-PREF,25
"('CORE-ADAPT', 'SS-LEADERSHIP')",SS-LEADERSHIP,33
"('CORE-ADAPT', 'SS-STAKEHOLDER')",SS-STAKEHOLDER,35
"('CORE-ADAPT', 'TECH-CONCEPT')",TECH-CONCEPT,33
"('CORE-ADAPT', 'TECH-OPS')",TECH-OPS,29
"('CORE-ADAPT', 'analytical mindset')",analytical mindset,2
"('CORE-ADAPT', 'passion for digital transformation')",passion for digital transformation,1
"('CORE-ADAPT', 'process improvement')",process improvement,2
"('CORE-BUSINESS', 'EXP-AI-YRS')",EXP-AI-YRS,20
"('CORE-BUSINESS', 'EXP-INDUSTRY')",EXP-INDUSTRY,37
"('CORE-BUSINESS', 'EXP-PM-YRS')",EXP-PM-YRS,35
"('CORE-BUSINESS', 'EXP_ROLE')",EXP_ROLE,40
"('CORE-BUSINESS', 'PM-BUDGET')",PM-BUDGET,12
"('CORE-BUSINESS', 'PM-PLAN')",PM-PLAN,40
"('CORE-BUSINESS', 'PM-RISK')",PM-RISK,30
"('CORE-BUSINESS', 'PM-TOOL')",PM-TOOL,18
"('CORE-BUSINESS', 'QUAL-PREF')",QUAL-PREF,28
"('CORE-BUSINESS', 'SS-LEADERSHIP')",SS-LEADERSHIP,38
"('CORE-BUSINESS', 'SS-STAKEHOLDER')",SS-STAKEHOLDER,40
"('CORE-BUSINESS', 'TECH-CONCEPT')",TECH-CONCEPT,40
"('CORE-BUSINESS', 'TECH-OPS')",TECH-OPS,33
"('CORE-BUSINESS', 'analytical mindset')",analytical mindset,2
"('CORE-BUSINESS', 'passion for digital transformation')",passion for digital transformation,1
"('CORE-BUSINESS', 'process improvement')",process improvement,2
"('EXP-AI-YRS', 'EXP-INDUSTRY')",EXP-INDUSTRY,19
"('EXP-AI-YRS', 'EXP-PM-YRS')",EXP-PM-YRS,19
"('EXP-AI-YRS', 'EXP_ROLE')",EXP_ROLE,21
"('EXP-AI-YRS', 'PM-BUDGET')",PM-BUDGET,7
"('EXP-AI-YRS', 'PM-PLAN')",PM-PLAN,21
"('EXP-AI-YRS', 'PM-RISK')",PM-RISK,16
"('EXP-AI-YRS', 'PM-TOOL')",PM-TOOL,12
"('EXP-AI-YRS', 'QUAL-PREF')",QUAL-PREF,16
"('EXP-AI-YRS', 'SS-LEADERSHIP')",SS-LEADERSHIP,20
"('EXP-AI-YRS', 'SS-STAKEHOLDER')",SS-STAKEHOLDER,21
"('EXP-AI-YRS', 'TECH-CONCEPT')",TECH-CONCEPT,20
"('EXP-AI-YRS', 'TECH-OPS')",TECH-OPS,16
"('EXP-AI-YRS', 'analytical mindset')",analytical mindset,2
"('EXP-AI-YRS', 'passion for digital transformation')",passion for digital transformation,1
"('EXP-AI-YRS', 'process improvement')",process improvement,1
"('EXP-INDUSTRY', 'EXP-PM-YRS')",EXP-PM-YRS,35
"('EXP-INDUSTRY', 'EXP_ROLE')",EXP_ROLE,39
"('EXP-INDUSTRY', 'PM-BUDGET')",PM-BUDGET,11
"('EXP-INDUSTRY', 'PM-PLAN')",PM-PLAN,38
"('EXP-INDUSTRY', 'PM-RISK')",PM-RISK,29
