construct,category,sub_category_code,definition,dictionaries,AI tech_era
Employer Expectations,Experience,EXP-PM-YRS,Quantitative requirement for years of professional Project Management experience,"""years of project management"", ""years in a PM role"", ""years in program or project management"", ""years related experience managing it/technology projects""",
Employer Expectations,Experience,EXP-AI-YRS,"Quantitative requirement for years of experience specifically in Data, AI, or ML projects","""years of  experience in data science/AI projects"", ""years of experience in NLP projects"", ""years of  experience in computer vision"", ""years of experience in generative AI"", ""years of experience in  predictive analytics"", ""years of experience in data engineering"", ""years of experience with AI/ML methodologies"", ""years of experience in ML"", ""years of experience in machine learning lifecycle"", ""years of experience in work with data scientists""",
Employer Expectations,Experience,EXP-SOFTWARE,"Background in SaaS, ISV, or general software development","""background in software"", ""experience in software engineering"", ""background in software-as-a-service (SaaS)"","" ""ISV"", ""independent software vendor"", ""cloud services"", ""experience in software development environments""",
Employer Expectations,Role,ROLE-STRAT,"High-level strategic responsibilities involving vision setting, business alignment, and organizational transformation","""AI roadmap"", ""AI strategy"", ""ai strategic"", ""center of excellence"", ""CoE"", ""define vision"", ""investment strategy"", ""transformation"", ""target operating model"", ""roadmap definition"", ""ROI analysis"", ""innovation hub"", ""technology strategy roles"", ""ai product development landscape""",
Employer Expectations,Role,ROLE-EXEC,"Tactical responsibilities focused on daily execution, task management, triage, and release cycles","""sprint planning"", ""sprint goals"", ""time-boxing"", ""backlog refinement"", ""standups"", ""removing blockers"", ""user stories"", ""UAT"", ""testing"", ""deployment"", ""triage"", ""release planning"", ""delivery management"", ""client delivery"", ""AI platform implementations"", AI implementation"", ""drive implementation"", ""operate with considerable autonomy"", ""operational metrics"", ""execution plan"",  managing and optimizing, ""project implementation"", ""implementing artificial intelligence projects""",
Core Competencies,Project Management,PM-METHOD,"Proficiency in established project management frameworks, methodologies, and lifecycles (e.g., Agile, SAFe, Waterfall)","""Agile methodology"", ""Scrum"", ""Kanban"", ""SAFe Scaled Agile Framework"", ""hybrid agile"", ""iterative development"", ""rapid prototyping"", ""minimum viable product (MVP)"", ""minimum viable model (MVM)"", ""continuous feedback"", ""LeSS"", ""Waterfall"", ""project management methodology"", ""ways of working"", ""internal workflow"", ""project delivery processes"", ""organizational abilities"", ""organizational skills""",
Core Competencies,Project Management,PM-RISK,"Ability to identify, assess, mitigate, and manage delivery risks and dependencies","""risk management"", ""identify project risks"", ""mitigation strategies"", ""contingency planning"", ""model performance risk"", ""data dependency risk"", ""proactive mitigation"", ""risk analysis"", ""timeline risk"", ""resource constraints"", ""dependency management"", ""critical path"", ""risk register"", ""risk posture"", ""quality management""",
Core Competencies,Project Management,PM-PLAN,"Competence in project planning, scheduling, resource allocation, and timeline management","""project planning"", ""scheduling"", ""resource allocation"", ""gantt charts"", ""resource management"", ""scope management"", ""milestone tracking"", ""milestones"", ""probabilistic scheduling"", ""experimental design"", ""work breakdown structure (WBS)"", ""project charter""",
Core Competencies,Project Management,PM-BUDGET,"Responsibility for financial oversight, budget management, forecasting, and cost control","""budget management"", ""financial forecasting"", ""cost control"", ""cost estimation"", ""financial management"", ""procurement"", ""track expenditures""",
Core Competencies,Project Management,PM-TOOL,"Technical proficiency with specific project management and collaboration software (e.g., Jira, Asana, Linear)","""experience with Jira"", ""experience with Asana"", ""experience with Rally"", ""experience with Azure DevOps"", ""experience with Trello"", ""experience with MS Project"", ""Linear,"" ""Notion"", ""Monday"", ""ClickUp"", ""Airtable"", ""Shortcut""",
Core Competencies,Project Management,PM-PORTFOLIO,Managing a portfolio of multiple AI investments to ensure ROI (distinct from single-project management),"""portfolio management"", ""project prioritization"", ""strategic alignment""",
Core Competencies,Leadership and Soft Skills,SS-STAKEHOLDER,"Skills in managing stakeholder relationships, ensuring business alignment, and securing executive buy-in","""stakeholder management"", ""client-facing"", ""executive communication"", ""communication plans"", ""communication updates"", ""visibility and accountability"", ""expectation management"", ""C-level communication"", ""technical translation"", ""cross-functional alignment"", ""progress reporting"", ""stakeholder reporting"", ""status reporting"", ""sentiment analysis"", ""vendor management"", ""managing third-party ai or tech vendors"",  ""cooperation with vendors"", ""manage vendor relationships"", ""third-party deliverables alignment"", ""executive alignment"", ""business partnership"", ""reports and presentations"",  ""collaborate with ai researchers""",
