phrase,cluster
actionable roadmaps,0
ability to launch new programs,0
refine effective processes,0
continuous integration (ci) pipelines,0
gpt workflows,0
understanding of system architecture,0
understanding of software development life cycle,0
multi-agent systems,0
orchestration patterns familiarity (nice to have),0
agent orchestration frameworks,0
deployment tools,0
systems for tracking deployed models,0
"drives execution of complex, cross-functional programs",0
managing multiple streams,0
experience with enterprise-scale programs at large complex orgs,0
program coordination,0
"drive releases, optimizations, and integrations",0
cutting-edge tools,0
"continuously improve processes, documentation, workflows, and system access",0
orchestrate and optimize the delivery of enterprise data programs,0
azure devops,0
leading mdm programs,0
intelligent orchestration,0
articulate how composable agents function,0
configuration management tools,0
experience with sdlc models,0
10+ years running large programs,0
experience building sustainable processes,0
agent-based processes,0
established best practices for model versioning,0
devsecops delivery models,0
architecture oversight,0
managing complex programs with cross-functional dependencies,0
software development life cycle (sdlc),0
program planning,0
managing complex enterprise environments,0
define and execute technical program management best practices,0
experience coordinating technical specifications for agentic automation across platforms and disciplines,0
structured workflows,0
mlops/llmops concepts,0
roadmap maintenance,0
integrating security controls into development workflows,0
end-to-end execution,0
microsoft devops (ado),0
reduce deployment friction,0
adaptable in fast-evolving project environments,0
coordinating large programs,0
crm integrations implementation,0
ensure transparency and execution discipline,0
operating production systems,0
guide the upskilling program,0
program roadmaps,0
secure development/deployment (llm/biological models),0
managing complex design and process problems,0
rpa (robotic process automation) tools,0
innovating in epm process improvements,0
tool integration,0
stay plugged into developments in agents,0
developing staging and implementation plans,0
cross-functional execution,0
drive end-to-end execution,0
operational reliability and maintainability constraints,0
prioritizing mitigations in fast-moving environments,0
managing multiple dependencies,0
coordinating rollout of data products,0
establish and maintain roadmaps,0
leading ssot programs,0
enterprise scale deployment,0
manage overall performance and maintenance of nebula platform,0
agent frameworks,0
managing end-to-end lifecycle,0
system maintenance,0
experience running change management programs,0
lean (scaling framework),0
comfortable operating in dynamic environment,0
end-to-end platform implementation,0
shaping and maintaining internal policies/templates/systems,0
system design and implementation approach,0
continuous improvement of program management practices,0
critical path management,0
advanced analytics solutions deployment at enterprise scale,0
"deployment in secure classified environments (il5/il6 cloud, scifs)",0
manage third-party solution implementations,0
fast-evolving project environments,0
drive successful implementation,0
orchestrate and optimize delivery of enterprise data programs,0
intelligent process automation,0
program management,0
end-to-end lifecycle planning,0
pmo tooling mastery,0
resolve technical blockers,0
oversee planning and execution of applied product initiatives,0
develop and execute roadmap,0
familiarity with scaling frameworks (safe/lean),0
ensuring infrastructure readiness,0
work in evolving toolsets or pilot environments,0
continuous deployment (cd) pipelines,0
deployment,0
model deployment,0
"supporting platforms, infrastructure, or developer/research tools",0
"develop and maintain integrated program plans, milestones, and success metrics",0
execution of critical programs,0
agent creation from concept to deployment,0
infrastructure readiness for ml workloads,0
leading large-scale software transformation programs,0
managing dependencies,0
reducing deployment friction,0
program roadmap management,0
scoping management,0
enterprise integration approaches,0
model lifecycle management,0
managing complex cross-functional programs,0
detail-driven organizer,0
open source software solutions,0
"leading planning, execution, and delivery of cross-functional technology programs",0
operating governance maintenance,0
model deployment (implied through third-party implementation management),0
improve workflows and automate tasks,0
execution of complex products,0
etl/elt systems,0
dependency management,0
"managing complex, cross-functional technology programs",0
program integration into development workflows,0
robust solution development,0
low-level requirements involving gpus,0
improving operational efficiency,0
model deployment (inference),0
distributed computing,0
virtualized infrastructure,0
managing conflicts across workstreams,0
cross-program orchestration,0
"execution of complex, cross-functional programs",0
end-to-end program planning,0
secure sandboxing techniques familiarity,0
systems integration,0
multi-agent orchestration,0
program plan creation and management,0
ability to scale new programs,0
building processes,0
enterprise software / digital workflow management,0
familiarity with nga core platform,0
production systems,0
solution architecture,0
structure and define a change management program,0
managing cross-functional programs,0
mlops delivery models,0
administering effective use of systems to ensure established processes are followed,0
dependency mapping,0
managing global programs,0
unify admin workflows behind a single front door,0
establish and maintain the overarching system architecture,0
accelerating technical delivery,0
composable architecture,0
establish delivery frameworks,0
gpu infrastructure knowledge,0
large scale software transformation efforts,0
secure system deployment processes,0
matrix organization management,0
establish standardized setup process,0
execution-oriented,0
drive platform evolution,0
managing complex programs,0
model deployment knowledge,0
platform infrastructure management,0
create and manage the program plan,0
scalable solution development,0
oversee platform architecture readiness,0
adaptable in ambiguous environments,0
technical program management,0
modernize systems,0
prior implementation and deployment experience of enterprise solutions,0
integration into product/development workflows,0
technical grounding in systems design,0
analytical infrastructure maintenance,0
ensuring internal tools are intuitive and reliable,0
program execution,0
system testing and evaluation,0
etl systems,0
ensure seamless integration into clinical workflows,0
define and deliver aiml programs,0
"system deployment (develop, test, and deploy solutions)",0
program management practices,0
program orchestration,0
familiarity with automation infrastructure,0
comfort with evaluating new software tools,0
advocate for and implement best practices for program execution,0
managing complex technical programs,0
manage cross-program dependencies,0
leveraging devsecops practices,0
multi-agent frameworks,0
implementation oversight,0
"cloud platforms (gcp, azure)",0
understanding of the software development lifecycle,0
drive continuous improvement of program management practices and templates,0
operationalize governance tools,0
multi-agent orchestration platform,0
experience with large scale software transformations,0
providing practical/proactive guidance,1
inform roadmap planning and communications,1
technical intuition,1
detail oriented,1
synthesize complex information,1
support testing and iterative learning,1
involve engineers in discussions,1
specific functional knowledge,1
significant exposure to solution architecture,1
"leading complex, cross-functional technical initiatives",1
course design integration (ai/learning strategies),1
systems thinking,1
requirements documentation,1
develop functional specifications,1
network operations knowledge,1
gather and synthesize technical requirements,1
develop product guides,1
technical direction determination,1
learning management systems implementation,1
program plan development,1
ffiec knowledge,1
develop training material and lead workshops,1
supporting cross-functional efforts (technical/legal/research),1
complex environments,1
primary liaison between research and engineering,1
generative/predictive models knowledge,1
healthcare/clinical systems,1
translate business challenges into technical requirements,1
proficiency in systems thinking,1
deep technical fluency,1
raising awareness of tools and services through educational seminars,1
support use case development,1
clinical application systems knowledge,1
reviewing architecture/experimentation/design proposals,1
technical grounding in architecture,1
translating abstract business needs into concrete technical solutions,1
developer experience optimization,1
model explainability,1
software development background,1
software development,1
model development knowledge,1
skilled in prompt engineering,1
hr technology,1
defining non-functional requirements,1
translating complex technical concepts into business-friendly language,1
jira/confluence proficiency,1
technical fluency,1
translate complex technical concepts into clear narratives,1
leading complex technical initiatives,1
facilitate knowledge sharing,1
systems development life cycle expertise,1
creating user-facing documentation,1
programming,1
prompt engineering,1
model prototypes,1
"complex, multi-quarter technical roadmaps",1
feature engineering scripting,1
assist in solution design,1
assistive technologies,1
programming familiarity (python),1
clinical application planning,1
determine technical direction and approach,1
strong technical intuition,1
functional testing,1
develop documentation,1
hands-on experience in traditional sdlc,1
technical integration,1
proof-of-concept projects,1
"skilled at managing complex, cross-functional technology programs",1
docs tools,1
reading and/or writing code,1
science and education technology/biotech,1
productivity software (note-taking platforms),1
translate business needs into actionable technical requirements,1
translate requirements into actionable plans,1
incorporating usability testing,1
feasibility assessment,1
analytical needs support,1
convey comprehensive technical information and training,1
platform development knowledge,1
confluence,1
software development knowledge,1
technical acumen,1
contribution to reference architectures,1
working knowledge of microsoft copilot,1
create resource libraries and best practice documentation,1
clinical application design and development,1
identify solutions and use cases,1
leveraging prompt engineering techniques to solve problems,1
technical documentation,1
integrating adaptive learning tools,1
providing technical guidance,1
defining functional requirements,1
fostering software development principles,1
adaptive learning systems knowledge,1
assessing technical feasibility of proposed use cases,1
bss/oss knowledge,1
"collaboration tools proficiency (asana, smartsheet, slack, zoom)",1
reading and/or writing code (preferred),1
stay current on technology trends,1
application in life sciences,1
support roadmap and maturity development,1
ability to grasp complex design and process problems,1
expert knowledge of clinical applications operations,1
communicate vision and functionality of systems,1
technical architecture,1
work across all departments to educate on the art of the possible,1
requirements gathering,1
bridge creative vision with technical implementation,1
optimization/simulation experience,1
working knowledge of salesforce agentforce,1
work in research/high-uncertainty environments,1
engaging in technical/project design discussions,1
understanding of enterprise architecture principles,1
promote and showcase successful implementations,1
contribution to knowledge base articles,1
use case documentation,1
knowledge sharing,1
demonstrated ability to translate complex technical concepts into business-friendly language,1
technical design discussions,1
discussing technical tradeoffs with engineers,1
convert requirements to product requirements,1
technical expertise or understanding of software development life cycle (sdlc),1
inform solution design,1
raising awareness of tools and services through online resources,1
raising awareness of tools and services through events,1
facilitate decision forums,1
program plans development,1
ability to understand bank processes,1
feature engineering documentation,1
contribute to the design and coding of products,1
coordinate proof-of-concept projects,1
working across disciplines,1
document understanding platforms (nice to have),1
hands-on approach,1
develop written specifications and curricula,1
contribute to onboarding documentation,1
contributes to development of new principles and concepts,1
eager to grow technical understanding in a rapidly evolving landscape,1
systems design,1
tech-savvy perspective,1
experience with analytic techniques,1
technical expertise or understanding of system architecture,1
knowledge of educational technology trends,1
understanding architecture,1
conduct workshops,1
ms office applications proficiency,1
3+ years large language models experience,1
represent engineering perspectives,1
deep understanding of advisor workflows,1
develop solutions,1
understanding of programming languages,1
gather and document requirements using interviews and design sessions,1
maintain documentation,1
ability to distill complex problems to barest essences,1
translating complex needs,1
notion (documentation/media) (nice to have),1
detail-oriented approach,1
loom (documentation/media) (nice to have),1
influencing solution design,1
"translating ambiguous needs into concrete, actionable engineering projects",1
fundamental understanding of web-based systems programming and development,1
create mock-ups on new features,1
program management tools proficiency,1
process management system knowledge,1
strong technical acumen,1
translating complex technical information,1
producing code,1
interest in complex problem-solving,1
ability to evaluate technical proposals and ensure feasibility,1
gather requirements,1
end-to-end software development background,1
rapid learning of new tools/software,1
business needs translation,2
driving product development cycles,2
sales and digital marketing,2
omnichannel retail and e-commerce (global operations),2
on-site client engagements,2
experience with epic or other ehr vendors,2
business enablement,2
delivering on product roadmaps,2
